mes;partidas_unicas;partidas_lan;partidas_online;series_bo1;series_bo3;series_bo5
2023-09;32;15;17;0;32;0
2023-10;471;41;430;39;429;3
2023-11;455;82;373;46;401;8
2023-12;213;57;156;15;191;7
2024-01;448;48;400;262;186;0
2024-02;405;125;280;162;241;2
2024-03;418;108;310;148;267;3
2024-04;606;94;512;138;466;2
2024-05;608;95;513;174;429;5
2024-06;440;90;350;103;324;13
2024-07;479;62;417;159;318;2
2024-08;712;106;606;181;528;3
2024-09;623;104;519;113;505;5
2024-10;484;108;376;131;341;12
2024-11;359;169;190;98;250;11
2024-12;237;81;156;34;198;5
2025-01;323;56;267;85;237;1
2025-02;554;79;475;82;468;4
2025-03;695;122;573;118;566;11
2025-04;528;116;412;199;321;8
2025-05;541;130;411;31;499;11
2025-06;332;142;190;64;264;4
2025-07;328;107;221;12;312;4
2025-08;554;78;476;44;506;4
2025-09;599;230;369;43;547;9
2025-10;558;191;367;29;519;10
2025-11;554;289;265;106;434;14
2025-12;231;122;109;47;178;6
2026-01;345;188;157;35;305;5
2026-02;517;222;295;73;441;3
2026-03;379;145;234;62;307;10
